Neighbourhood,Population,Area
Ajuda,17958,2.85
Alcantara,14443,4.42
Alvalade,34217,5.33
Areeiro,21035,1.76
Arroios,33210,2.15
Avenidas Novas,21162,2.99
Beato,14241,1.55
Belem,17857,5.67
Benfica,41368,7.94
Campo de Ourique,24823,1.65
Campolide,15927,2.78
Carnide,18989,4.03
Estrela,21175,2.76
Lumiar,37693,6.1
Marvila,38767,6.32
Misericordia,15877,1.12
Olivais,46410,8.13
Parque das Nacoes,21025,5.44
Penha de Franca,30795,2.2
Santa Clara,20153,3.32
Santa Maria Maior,14191,1.49
Santo Antonio,13601,1.5
Sao Domingos de Benfica,33678,4.3
Sao Vicente,17087,1.22
